Tipo,Casa,Preço,Destaque,Link,Área (m²),Quartos,Banheiros,UF
Casa à venda,"Sobrado Vila Maria Alta, 3 Dormitorios, Nada Para Fazer, Terreno 3.80 X41  04 Vagas Cobertas  Direto Proprietario",689000,Sim,https://casa.mercadolivre.com.br/MLB-5190910538-sobrado-vila-maria-alta-3-dormitorios-nada-para-fazer-terreno-380-x41-04-vagas-cobertas-direto-proprietario-_JM#polycard_client=search-nordic&position=39&search_layout=grid&type=item&tracking_id=c3cdefa9-7eb7-48de-88e8-e058f733693d,157.0,3,3, São Paulo
Casa à venda,Casa De Campo Em Condomínio - Em Atibaia,1160000,Sim,https://casa.mercadolivre.com.br/MLB-5204738766-casa-de-campo-em-condominio-em-atibaia-_JM#polycard_client=search-nordic&position=47&search_layout=grid&type=item&tracking_id=c3cdefa9-7eb7-48de-88e8-e058f733693d,178.0,3,3, São Paulo
Casa à venda,Casa Em Condominio Fechado,1400000,Sim,https://casa.mercadolivre.com.br/MLB-5192884956-casa-em-condominio-fechado-_JM#polycard_client=search-nordic&position=49&search_layout=grid&type=item&tracking_id=c3cdefa9-7eb7-48de-88e8-e058f733693d,166.0,3,4, Paraná
Casa à venda,Oportunidade! Excelente Imóvel A 2 Quadras Da Praia Em Um Dos Bairros Que Mais Cresce Em Praia Grande! ,480000,Sim,https://casa.mercadolivre.com.br/MLB-3928833573-oportunidade-excelente-imovel-a-2-quadras-da-praia-em-um-dos-bairros-que-mais-cresce-em-praia-grande-_JM#polycard_client=search-nordic&position=50&search_layout=grid&type=item&tracking_id=c3cdefa9-7eb7-48de-88e8-e058f733693d,120.0,3,3, São Paulo
Casa à venda,Oportunidade! Casa Cond 3 Suítes 1 Vg Coberta ,350000,Sim,https://casa.mercadolivre.com.br/MLB-5193781512-oportunidade-casa-cond-3-suites-1-vg-coberta-_JM#polycard_client=search-nordic&position=4&search_layout=grid&type=item&tracking_id=76217ef9-c8d2-4fb7-9c36-a6ea583f04dd,90.0,3,4, São Paulo
Casa à venda,Casa Em Condomínio Com Piscina Alto Padrao Sumaré Real Park,1080000,Sim,https://casa.mercadolivre.com.br/MLB-5196210964-casa-em-condominio-com-piscina-alto-padrao-sumare-real-park-_JM#polycard_client=search-nordic&position=5&search_layout=grid&type=item&tracking_id=76217ef9-c8d2-4fb7-9c36-a6ea583f04dd,126.0,3,2, São Paulo
Casa à venda,Praia Litoral Norte Sp Condom. Boiçucanga,610000,Sim,https://casa.mercadolivre.com.br/MLB-5204627252-praia-litoral-norte-sp-condom-boicucanga-_JM#polycard_client=search-nordic&position=8&search_layout=grid&type=item&tracking_id=76217ef9-c8d2-4fb7-9c36-a6ea583f04dd,75.0,2,2, São Paulo
Casa à venda,Casa A Venda Em Guarulhos,250000,Sim,https://casa.mercadolivre.com.br/MLB-3924568613-casa-a-venda-em-guarulhos-_JM#polycard_client=search-nordic&position=12&search_layout=grid&type=item&tracking_id=76217ef9-c8d2-4fb7-9c36-a6ea583f04dd,150.0,5,4, São Paulo
Casa à venda,Vende Casa Na Praia - Mongaguá - Oportunidade Á Vista $290,290000,Sim,https://casa.mercadolivre.com.br/MLB-3922190951-vende-casa-na-praia-mongagua-oportunidade-a-vista-290-_JM#polycard_client=search-nordic&position=16&search_layout=grid&type=item&tracking_id=76217ef9-c8d2-4fb7-9c36-a6ea583f04dd,88.0,2,2, São Paulo
Casa à venda,"Casa Com Piscina, Àrea Gourmet- 3 Dorm.- Cond Fechado.24h-",1200000,Sim,https://casa.mercadolivre.com.br/MLB-5201589120-casa-com-piscina-rea-gourmet-3-dorm-cond-fechado24h--_JM#polycard_client=search-nordic&position=17&search_layout=grid&type=item&tracking_id=76217ef9-c8d2-4fb7-9c36-a6ea583f04dd,138.0,3,3, São Paulo
